,rank,name,year,rating,metascore,votes,revenue,genre,runtime,directors,actors,description
4636,37,Double Impact,1991,5.5,,34499,30102717.0,"Action, Crime",110.0,Sheldon Lettich,"Jean-Claude Van Damme, Geoffrey Lewis, Alonna Shaw, Corinna Everson",Twin brothers are separated when their parents are murdered but 25 years later they re-unite in order to avenge their parents' death.
4637,38,Child's Play 3,1991,5.1,27.0,31188,14960255.0,"Horror, Thriller",90.0,Jack Bender,"Justin Whalin, Perrey Reeves, Jeremy Sylvers, Travis Fine","Chucky returns for revenge against Andy, the young boy who defeated him, and now a teenager living in a military academy."
4638,39,Doc Hollywood,1991,6.2,56.0,30174,54830779.0,"Comedy, Drama, Romance",104.0,Michael Caton-Jones,"Michael J. Fox, Julie Warner, Barnard Hughes, Woody Harrelson",A young doctor on his way across the country to a job interview crashes his car in a small town and is sentenced to work for several days at the town hospital.
4639,40,The Commitments,1991,7.6,73.0,29630,14919570.0,"Comedy, Drama, Music",118.0,Alan Parker,"Robert Arkins, Michael Aherne, Angeline Ball, Maria Doyle Kennedy","When Jimmy Rabbitte wants to start a band, he has open auditions at his house."
4640,41,New Jack City,1991,6.6,61.0,28305,47624253.0,"Action, Crime, Drama",97.0,Mario Van Peebles,"Wesley Snipes, Ice-T, Allen Payne, Chris Rock",A crime lord ascends to power and becomes megalomaniacal while a maverick police detective vows to stop him.
4641,42,The People Under the Stairs,1991,6.4,,28022,24204154.0,"Comedy, Horror, Mystery",102.0,Wes Craven,"Brandon Quintin Adams, Everett McGill, Wendy Robie, A.J. Langer","Two adults and a juvenile break into a house occupied by a brother and sister and their stolen children. There, they must fight for their lives."
4642,43,L.A. Story,1991,6.7,66.0,27652,28862081.0,"Comedy, Drama, Fantasy",95.0,Mick Jackson,"Steve Martin, Victoria Tennant, Richard E. Grant, Sarah Jessica Parker","With the help of a talking freeway billboard, a wacky weatherman tries to win the heart of an English newspaper reporter, who is struggling to make sense of the strange world of early 1990s Los Angeles."
4643,44,Oscar,1991,6.5,,27340,23562716.0,"Comedy, Crime",109.0,John Landis,"Sylvester Stallone, Ornella Muti, Peter Riegert, Chazz Palminteri","A gangster attempts to keep the promise he made to his dying father: that he would give up his life of crime and ""go straight""."
4644,45,Regarding Henry,1991,6.7,47.0,27001,43001500.0,"Drama, Romance",108.0,Mike Nichols,"Harrison Ford, Annette Bening, Michael Haley, Stanley Swerdlow","After being shot, a man loses his memory and must relearn speech and mobility, but he has a loving family to support him."
4645,46,Frankie and Johnny,1991,6.7,66.0,26132,22773535.0,"Comedy, Drama, Romance",118.0,Garry Marshall,"Al Pacino, Michelle Pfeiffer, Hector Elizondo, Nathan Lane","Johnny has just been released from prison, and gets a job in a café beside waitress Frankie. Frankie is a bit of a loner, but Johnny is determined their romance will blossom."
4646,47,Da hong deng long gao gao gua,1991,8.2,,24860,2603061.0,"Drama, History, Romance",125.0,Yimou Zhang,"Li Gong, Jingwu Ma, Saifei He, Cuifen Cao","A young woman becomes the fourth wife of a wealthy lord, and must learn to live with the strict rules and tensions within the household."
4647,48,Don't Tell Mom the Babysitter's Dead,1991,6.1,35.0,24713,25196249.0,Comedy,102.0,Stephen Herek,"Christina Applegate, Joanna Cassidy, John Getz, Josh Charles",Five siblings are left alone all summer when their mom leaves town and the evil babysitter bites the dust.
4648,49,Drop Dead Fred,1991,5.9,,24661,43878334.0,"Comedy, Drama, Fantasy",103.0,Ate de Jong,"Phoebe Cates, Rik Mayall, Marsha Mason, Tim Matheson",A young woman finds her already unstable life rocked by the presence of a rambunctious imaginary friend from childhood.
4649,50,Dead Again,1991,7.0,66.0,24148,38016380.0,"Drama, Mystery, Romance",107.0,Kenneth Branagh,"Kenneth Branagh, Emma Thompson, Andy Garcia, Lois Hall","A woman who has lost her memory is taken in by a Los Angeles orphanage, and a private eye is enlisted to track down her identity, but he soon finds that he might have a past life connection to her that endangers their lives."
4650,51,Bugsy,1991,6.8,80.0,23531,49114016.0,"Biography, Crime, Drama",136.0,Barry Levinson,"Warren Beatty, Annette Bening, Harvey Keitel, Ben Kingsley","The story of how Benjamin ""Bugsy"" Siegel started Las Vegas."
4651,52,An American Tail: Fievel Goes West,1991,6.5,,21049,22166041.0,"Animation, Adventure, Family",75.0,"Phil Nibbelink, Simon Wells","James Stewart, John Cleese, Amy Irving, Phillip Glasser","A family of Emigre mice decide to move out to the west, unaware that they are falling into a trap perpetrated by a smooth talking cat."
4652,53,Nothing But Trouble,1991,4.9,,20494,8479793.0,Comedy,94.0,Dan Aykroyd,"Chevy Chase, Dan Aykroyd, John Candy, Demi Moore",A businessman and his friends are captured by a sadistic judge and his equally odd family in the backwoods of a bizarre mansion.
