,rank,name,year,rating,metascore,votes,revenue,genre,runtime,directors,actors,description
1519,120,Otobüs,1975,7.7,,1461,,"Comedy, Crime, Drama",84.0,Tunç Okan,"Tunç Okan, Björn Gedda, Tuncel Kurtiz, Oguz Arlas","A group of illegal immigrants are brought to Stockholm in a bus by a smuggler who takes all their money and passports, and then runs away."
1520,121,La noche de las gaviotas,1975,5.9,,1457,,Horror,89.0,Amando de Ossorio,"Víctor Petit, María Kosty, Sandra Mozarowsky, José Antonio Calvo","In this final installment of the Blind Dead series, a doctor and his wife move to a small inhospitable coastal village where he plans to start a practice only to discover that undead demon-worshiping Templar Knights haunt the place."
1521,122,One of Our Dinosaurs Is Missing,1975,6.0,,1449,,"Family, Adventure, Comedy",100.0,Robert Stevenson,"Peter Ustinov, Helen Hayes, Derek Nimmo, Hugh Burden","Lord Southmere escapes from China with a microfilm of the formula for the mysterious ""Lotus X"", and is captured by Chinese spies who have been instructed to retrieve the microfilm from him....                See full summary »"
1522,123,Rancho Deluxe,1975,6.4,,1422,,"Comedy, Romance, Western",93.0,Frank Perry,"Jeff Bridges, Sam Waterston, Elizabeth Ashley, Clifton James","Two drifters, of widely varying backgrounds, rustle cattle and try to avoid being caught in contemporary Montana."
1523,124,Ne mozhet byt!,1975,7.8,,1414,,"Comedy, Musical, Romance",100.0,Leonid Gaidai,"Mikhail Pugovkin, Nina Grebeshkova, Vyacheslav Nevinnyy, Mikhail Svetin","Three stories about a marriage - its betrayal, its boredom, its absurd."
1524,125,Xala,1975,6.8,,1409,,"Comedy, Drama",123.0,Ousmane Sembene,"Thierno Leye, Myriam Niang, Seune Samb, Fatim Diagne",A corrupt politician is cursed with impotence on the night of his third wedding after embezzling 100 tons of rice.
1525,126,The Reincarnation of Peter Proud,1975,6.6,,1389,,"Horror, Mystery",105.0,J. Lee Thompson,"Michael Sarrazin, Jennifer O'Neill, Margot Kidder, Cornelia Sharpe","When college professor Peter Proud begins to experience flashbacks from a previous incarnation, he is mysteriously drawn to a place he has never been before but which is troublingly ...                See full summary »"
1526,127,Snuff,1975,2.8,,1371,,Horror,80.0,"Michael Findlay, Horacio Fredriksson, Simon Nuchtern","Margarita Amuchástegui, Tina Austin, Ana Carro, Brian Cary","A so-called ""snuff"" movie involving the exploits of a cult leader leading a gang of bikers in a series of supposedly real killings on film."
1527,128,Friday Foster,1975,6.0,,1329,,Action,90.0,Arthur Marks,"Pam Grier, Yaphet Kotto, Godfrey Cambridge, Thalmus Rasulala","At Los Angeles airport, magazine photographer Friday Foster witnesses an assassination attempt against billionaire Blake Tarr and is drawn into a murky political conspiracy."
1528,129,Le sauvage,1975,6.7,,1328,,"Adventure, Comedy, Drama",107.0,Jean-Paul Rappeneau,"Yves Montand, Catherine Deneuve, Luigi Vannucchi, Tony Roberts","Caracas, Venezuela. Just after her engagement with Vittorio, Nelly runs away from him. As he pursued her, she looks for help to Martin, a French middle-aged man she met by accident. He ...                See full summary »"
1529,130,Le orme,1975,6.8,,1321,,"Mystery, Thriller",96.0,"Luigi Bazzoni, Mario Fanelli","Florinda Bolkan, Peter McEnery, Nicoletta Elmi, Caterina Boratto",A woman is tormented by strange dreams of astronauts on the moon. She visits a deserted seaside town whose inhabitants know her even though she does not know them.
1530,131,Inserts,1975,6.3,,1285,,"Comedy, Drama",117.0,John Byrum,"Richard Dreyfuss, Jessica Harper, Bob Hoskins, Veronica Cartwright","A young, once-great Hollywood film director refuses to accept changing times during the early 1930s, and confines himself to his decaying mansion to make silent porn flicks."
1531,132,Ates Böcegi,1975,7.2,,1265,,Comedy,73.0,Osman F. Seden,"Tarik Akan, Ramazan Akboga, Abdi Algül, Mehtap Ar",The road runner movie of two clever cheaters turns to a love story.
1532,133,Hearts of the West,1975,6.5,,1243,,"Western, Comedy",102.0,Howard Zieff,"Jeff Bridges, Andy Griffith, Donald Pleasence, Blythe Danner","Lewis Tater writes Wild West dime novels and dreams of actually becoming a cowboy. When he goes west to find his dream, he finds himself in possession of the loot box of two crooks who ...                See full summary »"
1533,134,India Song,1975,6.4,,1229,,"Drama, Fantasy, Romance",120.0,Marguerite Duras,"Delphine Seyrig, Michael Lonsdale, Mathieu Carrière, Claude Mann","Anne-Marie Stretter, wife of a French diplomat, lives in 1930s India. She takes many lovers as systems of oppression decay around her."
1534,135,Cousin cousine,1975,6.8,,1226,8700000.0,"Comedy, Romance",95.0,Jean-Charles Tacchella,"Marie-Christine Barrault, Victor Lanoux, Marie-France Pisier, Guy Marchand","Two distant cousins meet at a wedding banquet for an elderly couple. Over time, a close friendship develops between them, but their spouses begin to think that they are more than just friends."
1535,136,On a retrouvé la 7ème compagnie !,1975,6.7,,1225,,"Comedy, War",90.0,Robert Lamoureux,"Jean Lefebvre, Pierre Mondy, Henri Guybet, Pierre Tornade",French army's seventh company experiences severe setback during world war 2 when it gets separated from other members of the army.They disguise as army officers to escape death when they are caught by German soldiers.
1536,137,Jingi no hakaba,1975,7.3,,1214,,"Action, Crime",94.0,Kinji Fukasaku,"Tetsuya Watari, Tatsuo Umemiya, Yumi Takigawa, Eiji Gô",A self-destructive man becomes a powerful member of the Japanese mafia but quickly loses his self control. Based on the true story of Rikio Ishikawa.
1537,138,White Line Fever,1975,6.3,,1205,,"Action, Crime, Drama",90.0,Jonathan Kaplan,"Jan-Michael Vincent, Kay Lenz, Slim Pickens, L.Q. Jones","In the 1970s Arizona, a young married man becomes an independent long-haul driver and he risks his life fighting the corruption in the local long-haul trucking industry."
1538,139,The Ghoul,1975,4.8,,1202,,"Horror, Thriller",88.0,Freddie Francis,"Peter Cushing, John Hurt, Alexandra Bastedo, Gwen Watford","A former priest named Doctor Lawrence harbors a dark and horrible secret in his attic. The locked room serves as a prison cell for his crazed, cannibalistic adult son, who acquired his ...                See full summary »"
1539,140,Adieu poulet,1975,7.0,,1197,,"Crime, Drama",91.0,Pierre Granier-Deferre,"Lino Ventura, Patrick Dewaere, Victor Lanoux, Julien Guiomar","When political thugs murder an opponent's volunteer and also kill a cop, chief inspector Verjeat believes the politician who hired them is as guilty as the murderous goon. Verjeat's pursuit...                See full summary »"
1540,141,Baba Bizi Eversene,1975,7.5,,1196,,Comedy,81.0,Oksal Pekmezoglu,"Baris Manço, Meral Zeren, Hulusi Kentmen, Serpil Nur","A hopelessly yearning hippie is left alone with a newborn baby when his just married parents go for a vacation, but wittily he finds a solution to get back his expatriate girlfriend, utilizing the baby who has no idea what is going on."
1541,142,Que la fête commence...,1975,7.1,,1193,,"Drama, History, War",114.0,Bertrand Tavernier,"Philippe Noiret, Jean Rochefort, Jean-Pierre Marielle, Christine Pascal","France, 1719. Four years after Louix XIV's death, Philippe d'Orleans is the regent for the nine-year-old Louis XIV. Philippe is a liberal and a libertine. His right-hand man, Dubois, an ...                See full summary »"
1542,143,Aandhi,1975,8.2,,1183,,"Drama, Romance",133.0,Gulzar,"Suchitra Sen, Sanjeev Kumar, Om Shivpuri, Manmohan","J.K. is a hotel Manager in a scenic location in India. One day he gallantly comes to the rescue of a drunk daughter, Aarti, of a politician, and chooses to be discrete about it. When she ...                See full summary »"
1543,144,Lèvres de sang,1975,6.0,,1172,,Horror,88.0,Jean Rollin,"Jean-Loup Philippe, Annie Belle, Natalie Perrey, Martine Grimaud","Frederick sees a photograph of a ruined seaside castle, which triggers a strange childhood memory. He then goes on a strange quest, aided by four female vampires, to find the castle and the beautiful woman who lives there."
1544,145,The Adventures of the Wilderness Family,1975,6.4,,1149,31223000.0,"Adventure, Drama, Family",100.0,Stewart Raffill,"Robert Logan, Susan Damante, Hollye Holmes, Ham Larsen","A family flees the city for the wilderness. They learn to live with nature and more importantly, that when one has family, one has everything."
1545,146,L'incorrigible,1975,6.7,,1140,,Comedy,100.0,Philippe de Broca,"Jean-Paul Belmondo, Geneviève Bujold, Julien Guiomar, Charles Gérard","Victor Vautier is incorrigible: he's in constant motion, working several cons at once, using different names and changing disguises. He's charming and outrageous, incapable of uttering a ...                See full summary »"
1546,147,Trip with the Teacher,1975,4.1,,1107,,"Drama, Horror, Thriller",91.0,Earl Barton,"Zalman King, Brenda Fogarty, Cathy Worthington, Dina Ousley","A teacher and her class of female students take a class trip to the desert. Their bus breaks down, and they find themselves terrorized by a gang of psycho bikers."
1547,148,Hester Street,1975,7.0,,1100,,"Drama, Romance",89.0,Joan Micklin Silver,"Steven Keats, Carol Kane, Mel Howard, Dorrie Kavanaugh","It's 1896. Yankel Bogovnik, a Russian Jew, emigrated to the United States three years earlier and has settled where many of his background have, namely on Hester Street on the Lower East ...                See full summary »"
1548,149,Mili,1975,7.6,,1082,,"Drama, Romance, Family",150.0,Hrishikesh Mukherjee,"Jaya Bhaduri, Amitabh Bachchan, Usha Kiran, Ashok Kumar","A reclusive, depressed man and a bubbly young woman fall in love but then find out that she has cancer."
1549,150,Jana Aranya,1975,8.3,,1076,,Drama,131.0,Satyajit Ray,"Pradip Mukherjee, Rafiq Ahmed, S. Bagchi, Ajit Banerjee","A bright and idealistic young man steels himself for the dog-eat-dog business world, only to flounder in a job market packed with thousands of other hopefuls."
1550,151,Gatti rossi in un labirinto di vetro,1975,5.9,,1075,,"Mystery, Thriller",100.0,Umberto Lenzi,"Martine Brochard, John Richardson, Ines Pellegrini, Andrés Mejuto",A maniac killer in a red cape and hood is killing off American tourists on a tour bus by gouging out their eyeballs.
1551,152,Emanuelle nera,1975,4.6,,1063,,Drama,91.0,Bitto Albertini,"Laura Gemser, Karin Schubert, Angelo Infanti, Isabelle Marchall","While on assignment in Nairobi, a photojournalist questions her racial and sexual identity when she engages in affairs with her wealthy hosts."
1552,153,The Man from Hong Kong,1975,6.6,,1054,,"Action, Drama, Adventure",111.0,"Brian Trenchard-Smith, Jimmy Wang Yu","Jimmy Wang Yu, George Lazenby, Hugh Keays-Byrne, Roger Ward","Hong Kong Inspector Fang Sing Leng travels to Australia to extradite a drug dealer. When the hood is assassinated on his way to court, everyone suspects Jack Wilton, a crime lord who the local police haven't been able to pick up."
1553,154,"'Sheba, Baby'",1975,5.8,,1011,,"Action, Crime, Drama",90.0,William Girdler,"Pam Grier, Austin Stoker, D'Urville Martin, Rudy Challenger","A Chicago private detective returns back home to Louisville, Kentucky, to help her father fight mobsters."
1554,155,The Romantic Englishwoman,1975,6.3,,1007,,"Comedy, Drama",116.0,Joseph Losey,"Glenda Jackson, Michael Caine, Helmut Berger, Michael Lonsdale","What is real and what is fiction? Faced with writer's block with his novel, Lewis Fielding turns to a film script about a woman finding herself after his wife Elizabeth returns from Baden ...                See full summary »"
1555,156,Macchie solari,1975,5.9,,999,,"Horror, Mystery, Thriller",100.0,Armando Crispino,"Mimsy Farmer, Barry Primus, Ray Lovelock, Carlo Cataneo",A pathology med student and a priest team up to investigate a wave of suicides blamed on sun spots and discover a number of them to be actual murders.
1556,157,"Tarzoon, la honte de la jungle",1975,5.2,,992,,"Adventure, Animation, Comedy",85.0,"Picha, Boris Szulzinger","Bernard Dhéran, Georges Aminel, Arlette Thomas, Paule Emanuele","Shame, the ape man of the jungle, is aghast when his woman, June, is kidnapped by a gang of giant penises. They take her to their queen, Bazunga, a bald woman with fourteen breasts. After ...                See full summary »"
1557,158,Manila in the Claws of Light,1975,7.9,,991,,"Drama, Mystery",125.0,Lino Brocka,"Hilda Koronel, Bembol Roco, Lou Salvador Jr., Joonee Gamboa","Júlio Madiaga, a 'provinciano', arrives in Manila to search for Ligaya, his loved one."
1558,159,Lucky Lady,1975,5.2,,988,12000000.0,"Comedy, Crime, Drama",118.0,Stanley Donen,"Gene Hackman, Liza Minnelli, Burt Reynolds, Geoffrey Lewis",A trio of rum-runners during prohibition in the 1930s engage in a menage-a-trois after business hours.
1559,160,Walking Tall Part II,1975,6.2,,987,,"Action, Biography, Crime",109.0,Earl Bellamy,"Bo Svenson, Luke Askew, John Davis Chandler, Robert DoQui",Sheriff Buford Pusser continues his one-man war against moonshiners and a ruthless crime syndicate after the murder of his wife in late 1960's Tennessee.
1560,161,At Long Last Love,1975,5.0,,973,3270000.0,"Comedy, Musical",118.0,Peter Bogdanovich,"Burt Reynolds, Cybill Shepherd, Madeline Kahn, Duilio Del Prete",This film was Peter Bogdanovich's homage to musical comedies of the 1930s. A millionaire named Michael Oliver Pritchard III and a singer named Kitty O'Kelly meet and fall in love. Meanwhile...                See full summary »
1561,162,The Man in the Glass Booth,1975,7.4,,962,,Drama,117.0,Arthur Hiller,"Maximilian Schell, Lois Nettleton, Lawrence Pressman, Luther Adler","Arthur Goldman is a rich Jewish industrialist, living in luxury in a Manhattan high-rise. He banters with his assistant Charlie, often shocking Charlie with his outrageousness and ...                See full summary »"
1562,163,L'assassino è costretto ad uccidere ancora,1975,6.6,,950,,Thriller,90.0,Luigi Cozzi,"George Hilton, Antoine Saint-John, Femi Benussi, Cristina Galbó","Giorgio is a greedy adulterer who makes a deal with a serial killer to dispose of his wealthy wife, Nora. Unfortunately, a thrill-seeking young couple steal the killer's car with Nora's ...                See full summary »"
1563,164,Släpp fångarne loss - det är vår!,1975,6.3,,944,,"Comedy, Family",97.0,Tage Danielsson,"Lena Nyman, Tage Danielsson, Georg Årlin, Margaretha Krook","Small and short Frida lives with her long, tall friend in a house in the countryside. Frida rejects the idea that people who has committed crimes should be locked up. One day their own ...                See full summary »"
1564,165,Bucktown,1975,6.3,,936,,"Action, Crime, Drama",94.0,Arthur Marks,"Fred Williamson, Pam Grier, Thalmus Rasulala, Tony King","Duke Johnson visits a small Southern town, intent on burying his brother. After the funeral, he learns that he must stay for 60 days, for the estate to be processed. A few locals convince ...                See full summary »"
1565,166,Jak utopit dr. Mrácka aneb Konec vodníku v Cechách,1975,7.6,,929,,"Comedy, Fantasy, Romance",96.0,Václav Vorlícek,"Jaromír Hanzlík, Libuse Safránková, Frantisek Filipovský, Milos Kopecký","There are still water spirits among us. One group lives in Prague, led by Mr. Wassermann, who is using his wife's family as servants. All they need is their old house near the river. But ...                See full summary »"
1566,167,The Black Gestapo,1975,4.2,,898,,"Crime, Drama, Thriller",90.0,Lee Frost,"Rod Perry, Charles Robinson, Phil Hoover, Edward Cross","General Ahmed has started an inner-city People's Army to try and relieve the misery of the citizens of Watts. When the locals are put under increasing pressure by Mafia thugs, Ahmed's ...                See full summary »"
1567,168,Take a Hard Ride,1975,5.8,,897,,Western,103.0,Antonio Margheriti,"Jim Brown, Lee Van Cleef, Fred Williamson, Catherine Spaak","After selling his cattle in town, ranch owner Morgan unexpectedly dies, and his foreman Pike has to deliver the payroll to Sonora, despite the perilous journey during which he's followed by many shady characters who want the money."
1568,169,I Don't Want to Be Born,1975,3.9,,883,,Horror,95.0,Peter Sasdy,"Joan Collins, Eileen Atkins, Ralph Bates, Donald Pleasence","A woman gives birth to a baby, but this is no ordinary little tyke. The child is seemingly possessed by the spirit of a freak dwarf who the mother once spurned. Cue a spate of strange ...                See full summary »"
1569,170,Section spéciale,1975,7.8,,872,,"Drama, History, Thriller",118.0,Costa-Gavras,"Louis Seigner, Roland Bertin, Michael Lonsdale, Ivo Garrani","In occupied France during the WWII, a German officer is murdered. The collaborationist Vichy government decides to pin the murder on six petty criminals. Loyal judges are called in to convict them as quickly as possible."
1570,171,The Other Side of the Mountain,1975,6.4,,860,34673100.0,"Biography, Drama, Romance",102.0,Larry Peerce,"Marilyn Hassett, Beau Bridges, Belinda Montgomery, Nan Martin",Young ski champion Jill Kinmont is left paralyzed after a tragic skiing accident. Her best friend suffers the same fate after contracting polio. Jill must slowly put her life back together again with the help of those close to her.
1571,172,Xue di zi,1975,6.7,,811,,"Action, Drama",111.0,Meng Hua Ho,"Kuan Tai Chen, Feng Ku, Hung Wei, Wu Chi Liu","An assassin, trained in the use of a throwing weapon that can behead its victims from a distance, questions the morality of his missions and becomes a fugitive hunted by his former comrades."
1572,173,W.W. and the Dixie Dancekings,1975,5.9,,807,,Comedy,91.0,John G. Avildsen,"Burt Reynolds, Art Carney, Conny Van Dyke, Jerry Reed","W. Bright (Burt Reynolds) is a robber with a heart of gold who travels the South knocking off banks and gas stations owned by a corrupt businessman. When he hijacks a car, he meets an aspiring country band, the Dixie Dancekings, led by Dixie (Conny Van Dyke). The two sides eventually take a liking to one another, especially after the Dancekings realize the size of Bright's thefts. Trailed by ...                See full summary »"
1573,174,Nereden çikti bu velet,1975,6.9,,797,,Comedy,85.0,Osman F. Seden,"Zeki Alasya, Metin Akpinar, Hale Soygazi, Nisa Serezli","Two cronies come across a lost 3 year old boy in the airport. The little brat fools around with the two for a while, until they find out that the kid actually has a tragic background. They have no other choice other than looking after him."
1574,175,Der Richter und sein Henker,1975,6.1,,789,,"Drama, Mystery, Crime",106.0,Maximilian Schell,"Jon Voight, Jacqueline Bisset, Martin Ritt, Robert Shaw","When a Swiss cop is murdered, a veteran homicide inspector and a rookie are assigned to solve the case but they are obstructed by interfering Swiss politicians."
1575,176,Satanico Pandemonium: La Sexorcista,1975,6.2,,770,,"Horror, Mystery, Thriller",89.0,Gilberto Martínez Solares,"Enrique Rocha, Cecilia Pezet, Delia Magaña, Clemencia Colin",A young nun is tempted by visions of forbidden sexual fantasies to cross over to Satan.
1576,177,Konyok-gorbunok,1975,7.6,,762,,"Animation, Adventure, Comedy",73.0,"Ivan Ivanov-Vano, Boris Butakov","Jim Backus, Aleksey Gribov, Mariya Vinogradova, Georgiy Vitsin","Enthrallingly and fervently, colorfully and directly narration about the surprising adventures of little Ivanushka and his true friend - magic Horse, outwitting a foolish and greedy tsar."
1577,178,Pick-up,1975,4.7,,760,,Drama,80.0,Bernard Hirschenson,"Jill Senter, Alan Long, Gini Eastwood, Tom Quinn",Sexy hippie chicks Carol and Maureen get more than they bargained for when they hitch a ride with groovy hippie dude Chuck in his nifty mobile bus home. The trio get lost in the Florida ...                See full summary »
1578,179,Mausam,1975,8.1,,748,,"Musical, Romance",156.0,Gulzar,"Sanjeev Kumar, Sharmila Tagore, Om Shivpuri, Agha","A medical student, Amarnath meets and falls in love with the daughter of a herbal medicine healer, Chanda while preparing for his exams in Darjeeling. He returns to Calcutta to sit his ...                See full summary »"
1579,180,Shinkansen daibakuha,1975,6.9,,741,,"Crime, Drama, Thriller",152.0,Jun'ya Satô,"Ken Takakura, Shin'ichi Chiba, Kei Yamamoto, Eiji Gô","Criminals plant a bomb on a high-speed train. It will explode when the train slows down, unless a ransom is paid."
1580,181,La course à l'échalote,1975,6.3,,735,,Comedy,95.0,Claude Zidi,"Pierre Richard, Jane Birkin, Michel Aumont, Marc Doelnitz","An awkward banker tracks down cabaret performers, who stole the ownership title of their nightclub."
1581,182,Más negro que la noche,1975,7.0,,734,,"Horror, Mystery, Thriller",96.0,Carlos Enrique Taboada,"Claudia Islas, Susana Dosamantes, Lucía Méndez, Helena Rojo","When four women move into an old house left by one woman's aunt, strange things begin to happen. Bizarre voices, visions of ghosts, and mysterious noises lead them to discover the darkest ...                See full summary »"
1582,183,Ägget är löst! En hårdkokt saga,1975,6.2,,723,,Comedy,107.0,Hans Alfredson,"Gösta Ekman, Max von Sydow, Birgitta Andersson, Anna Godenius","This musical tragicomedy starring Max von Sydow as The Father, the patriarch of a seemingly nameless family. A factory owner whose workers transform eggs into specialized tools for ...                See full summary »"
1583,184,Man Friday,1975,6.5,,718,,"Drama, Adventure",115.0,Jack Gold,"Peter O'Toole, Richard Roundtree, Peter Cellier, Christopher Cabot","During the 17th century, shipwrecked English seaman Robinson Crusoe, after years of solitude, spots natives on his deserted Pacific island and befriends one who he names Friday."
1584,185,Cleopatra Jones and the Casino of Gold,1975,5.7,,713,,Action,94.0,Charles Bail,"Tamara Dobson, Stella Stevens, Ni Tien, Norman Fell","When fellow operatives (and childhood friends) Matthew Johnson and Melvin Johnson disappear during an undercover mission in Hong Kong, Cleopatra Jones (Tamara Dobson) travels there to find ...                See full summary »"
1585,186,Criminally Insane,1975,5.8,,702,,"Horror, Thriller",61.0,Nick Millard,"Priscilla Alden, Michael Flood, Jane Lambert, Robert Copple",An obese woman recently released from an insane asylum kills anyone who attempts to get her to stop eating.
1586,187,Anderusen dôwa ningyo-hime,1975,7.5,,698,,"Animation, Adventure, Family",68.0,"Tomoharu Katsumata, Tim Reid","Fumie Kashiyama, Mariko Miyagi, Tarô Shigaki, Hideki Shibata","A mermaid falls in love with a human prince, which leads to tragedy."
1587,188,Güler misin aglar misin,1975,6.8,,687,,Comedy,93.0,Osman F. Seden,"Zeki Alasya, Metin Akpinar, Kadir Savun, Ali Sen",A clumsy receptionist falls for the daughter of a poor family whose house is set next to a high class hotel on the beach. He befriends with a co-worker of her father's from the hotel ...                See full summary »
1588,189,Le Gitan,1975,6.5,,687,,"Crime, Drama",102.0,José Giovanni,"Alain Delon, Paul Meurisse, Annie Girardot, Marcel Bozzuffi","Hugo Sennart is a French Gypsy, wanted by the police for theft. The same inspector who's searching for him is also looking for a jewel thief, Yan Kuq, whose wife has died under suspicious ...                See full summary »"
1589,190,L'éventreur de Notre-Dame,1975,4.3,,685,,Horror,95.0,Jesús Franco,"Lina Romay, Catherine Lafferière, Jesús Franco, Lynn Monteil",A madman conducts a private inquisition to exorcise demons by torturing women to death.
1590,191,Dupont Lajoie,1975,7.3,,678,,Drama,100.0,Yves Boisset,"Jean Carmet, Pierre Tornade, Jean Bouise, Michel Peyrelon","As every summer, Georges Lajoie, his wife Ginette and grown-up son Léon go on holiday to Loulou's campsite. They join old friends, the Schumachers and the Colins. Brigitte Colin, the ...                See full summary »"
1591,192,"Cornbread, Earl and Me",1975,6.9,,671,,"Drama, Sport",95.0,Joseph Manduke,"Moses Gunn, Rosalind Cash, Bernie Casey, Madge Sinclair","A 12-year-old is traumatised by the murder of his friend, a star basketball player."
1592,193,Giliap,1975,6.5,,668,,"Crime, Drama",137.0,Roy Andersson,"Thommy Berggren, Mona Seilitz, Willie Andréason, Lars-Levi Læstadius",In a minor town the morose manager is primarily responsible for the bad atmosphere of a restaurant. But central for the plot are three persons: a male waiter who is never named (here called...                See full summary »
1593,194,Report to the Commissioner,1975,6.5,,663,,"Action, Crime, Drama",112.0,Milton Katselas,"Michael Moriarty, Yaphet Kotto, Susan Blakely, Hector Elizondo","Police officer Patty Butler, alias ""Chicklet,"" is the live-in girlfriend of Thomas 'Stick' Henderson to gather evidence. Detective Bo Lockley is instructed to try to find her, not knowing she's also a cop."
1594,195,Numéro deux,1975,6.7,,661,,Drama,88.0,Jean-Luc Godard,"Sandrine Battistella, Pierre Oudrey, Alexandre Rignault, Rachel Stefanopoli",An analysis of the power relations in an ordinary family.
1595,196,Olsenbandens siste bedrifter,1975,6.4,,652,,"Comedy, Crime, Family",91.0,Knut Andersen,"Arve Opsahl, Carsten Byhring, Sverre Holm, Aud Schønemann","The Olsen Gang has to pay for their summer vacation in Spain, and Egon is hired to open a safe with black market money in Switzerland. He is conned, but Egon has sworn revenge."
1596,197,Poor Pretty Eddie,1975,5.5,,648,,"Crime, Drama, Horror",92.0,"David Worth, Richard Robinson","Leslie Uggams, Shelley Winters, Michael Christian, Ted Cassidy","A wrong turn on a jazz singer's road trip results in her car breaking down near an isolated lodge run by a faded starlet and a young, homicidal Elvis impersonator."
1597,198,Legend of the Werewolf,1975,5.7,,641,,Horror,85.0,Freddie Francis,"Peter Cushing, Ron Moody, Hugh Griffith, Roy Castle","A travelling circus in 19th century France adopts and showcases a feral ""wolf boy"", who grows into adulthood only to kill the one-man band. He runs off to Paris, where he develops a jealous...                See full summary »"
1598,199,Rosebud,1975,5.1,,630,,"Action, Adventure, Drama",126.0,Otto Preminger,"Peter O'Toole, Richard Attenborough, Cliff Gorman, Claude Dauphin","In a bold coup, a Palestinian terrorist group captures the yacht Rosebud and kidnaps the millionaire's five daughters on it. At first they demand film clips to be shown on major European ...                See full summary »"
1599,200,Actorul si salbaticii,1975,8.7,,630,,"Comedy, Drama, Family",150.0,Manole Marcus,"Toma Caragiu, Mircea Albulescu, Margareta Pogonat, Ion Besoiu","The director of a famous theater in 1930s Bucharest and his Jewish dramatist are preparing a show designed to satirize the fascist (legionnaire) movement, but the legionnaires are determined to stop the spectacle by any means."
1600,1,Taxi Driver,1976,8.3,94.0,626110,28262574.0,"Crime, Drama",114.0,Martin Scorsese,"Robert De Niro, Jodie Foster, Cybill Shepherd, Albert Brooks","A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute."
1601,2,Rocky,1976,8.1,70.0,465884,117235247.0,"Drama, Sport",120.0,John G. Avildsen,"Sylvester Stallone, Talia Shire, Burt Young, Carl Weathers",A small-time boxer gets a supremely rare chance to fight a heavy-weight champion in a bout in which he strives to go the distance for his self-respect.
1602,3,Carrie,1976,7.4,85.0,149722,33800000.0,Horror,98.0,Brian De Palma,"Sissy Spacek, Piper Laurie, Amy Irving, John Travolta","Carrie White, a shy, friendless teenage girl who is sheltered by her domineering, religious mother, unleashes her telekinetic powers after being humiliated by her classmates at her senior prom."
1603,4,Network,1976,8.1,88.0,129349,,Drama,121.0,Sidney Lumet,"Faye Dunaway, William Holden, Peter Finch, Robert Duvall",A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit.
1604,5,The Omen,1976,7.6,62.0,96380,4273886.0,Horror,111.0,Richard Donner,"Gregory Peck, Lee Remick, Harvey Stephens, David Warner",Mysterious deaths surround an American ambassador. Could the child that he is raising actually be the Antichrist? The Devil's own son?
1605,6,All the President's Men,1976,8.0,80.0,90658,70600000.0,"Biography, Drama, History",138.0,Alan J. Pakula,"Dustin Hoffman, Robert Redford, Jack Warden, Martin Balsam","""The Washington Post"" reporters Bob Woodward and Carl Bernstein uncover the details of the Watergate scandal that leads to President Richard Nixon's resignation."
1606,7,The Outlaw Josey Wales,1976,7.9,69.0,59325,31800000.0,Western,135.0,Clint Eastwood,"Clint Eastwood, Sondra Locke, Chief Dan George, Bill McKinney",A Missouri farmer joins a Confederate guerrilla unit and winds up on the run from the Union soldiers who murdered his family.
1607,8,Marathon Man,1976,7.5,64.0,51853,21709020.0,"Crime, Thriller",125.0,John Schlesinger,"Dustin Hoffman, Laurence Olivier, Roy Scheider, William Devane","A graduate history student is unwittingly caught in the middle of an international conspiracy involving stolen diamonds, an exiled Nazi war criminal, and a rogue government agent."
1608,9,Logan's Run,1976,6.8,53.0,46887,25000000.0,"Action, Sci-Fi",119.0,Michael Anderson,"Michael York, Jenny Agutter, Richard Jordan, Roscoe Lee Browne",An idyllic science fiction future has one major drawback: life must end at the age of thirty.
1609,10,The Message,1976,8.2,,39690,,"Adventure, Biography, Drama",177.0,Moustapha Akkad,"Anthony Quinn, Irene Papas, Michael Ansara, Johnny Sekka",This epic historical drama chronicles the life and times of Muhammad and serves as an introduction to early Islamic history.
1610,11,Assault on Precinct 13,1976,7.4,89.0,38691,,"Action, Crime, Thriller",91.0,John Carpenter,"Austin Stoker, Darwin Joston, Laurie Zimmer, Martin West","An unlikely partnership between a Highway Patrol Officer, two criminals and a station secretary is formed to defend a defunct Los Angeles precinct office against a siege by a bloodthirsty street gang."
1611,12,The Enforcer,1976,6.8,58.0,37489,46200000.0,"Action, Crime, Thriller",96.0,James Fargo,"Clint Eastwood, Tyne Daly, Harry Guardino, Bradford Dillman","Dirty Harry must foil a terrorist organization made up of disgruntled Vietnam veterans. But this time, he's teamed with a rookie female partner that he's not too excited to be working with."
1612,13,Le locataire,1976,7.7,,33667,1924733.0,"Drama, Thriller",126.0,Roman Polanski,"Roman Polanski, Isabelle Adjani, Melvyn Douglas, Jo Van Fleet",A bureaucrat rents a Paris apartment where he finds himself drawn into a rabbit hole of dangerous paranoia.
